epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1000.34,1.70314,1.69524,1.88857,0.59183,0.46667,0.5358,0.26517,1.72735,1.7754,1.99651,0.0011882,0.0011882,0.0011882
43,1023.49,1.69967,1.64328,1.88739,0.68771,0.50909,0.59161,0.3078,1.67473,1.60174,1.94449,0.0011684,0.0011684,0.0011684
44,1046.95,1.68116,1.65192,1.90833,0.61138,0.4958,0.55242,0.29532,1.66433,1.6624,1.96179,0.0011486,0.0011486,0.0011486
45,1070.43,1.67647,1.66778,1.87575,0.67595,0.50569,0.59041,0.28636,1.70694,1.63771,2.02456,0.0011288,0.0011288,0.0011288
46,1094.94,1.6618,1.58193,1.8664,0.65252,0.49091,0.5758,0.30062,1.62925,1.68817,1.92307,0.001109,0.001109,0.001109
47,1118.67,1.65129,1.57885,1.82566,0.64172,0.49935,0.57048,0.29364,1.68937,1.64252,1.99129,0.0010892,0.0010892,0.0010892
48,1141.97,1.64517,1.57753,1.81416,0.65575,0.51818,0.60639,0.32794,1.58874,1.54561,1.87717,0.0010694,0.0010694,0.0010694
49,1165.11,1.62851,1.56418,1.86214,0.70175,0.50624,0.61228,0.32126,1.63964,1.55397,1.93775,0.0010496,0.0010496,0.0010496
50,1188.11,1.63379,1.55023,1.82441,0.67825,0.49091,0.57925,0.29735,1.6777,1.71108,1.9997,0.0010298,0.0010298,0.0010298
51,1211.24,1.64683,1.60089,1.85305,0.62677,0.47879,0.55509,0.30004,1.64309,1.66454,1.92597,0.00101,0.00101,0.00101
52,1235.65,1.62436,1.56725,1.81199,0.73555,0.52727,0.63073,0.33837,1.56917,1.55484,1.8751,0.0009902,0.0009902,0.0009902
53,1259.5,1.5924,1.5493,1.81019,0.64427,0.52424,0.59167,0.31303,1.62791,1.59959,1.93319,0.0009704,0.0009704,0.0009704
54,1282.84,1.58194,1.48121,1.78967,0.68634,0.55152,0.62755,0.33368,1.61555,1.55346,1.91032,0.0009506,0.0009506,0.0009506
55,1306.02,1.58791,1.50152,1.7989,0.67297,0.58617,0.64879,0.33588,1.61681,1.47385,1.92583,0.0009308,0.0009308,0.0009308
